planning_area,region
Ang Mo Kio,ne
Bedok,e
Bishan,c
Boon Lay,w
Bukit Batok,w
Bukit Merah,c
Bukit Panjang,w
Bukit Timah,c
Central Water Catchment,n
Changi,e
Changi Bay,e
Choa Chu Kang,w
Clementi,w
Downtown Core,c
Geylang,c
Hougang,ne
Jurong East,w
Jurong West,w
Kallang,c
Lim Chu Kang,n
Mandai,n
Marina East,c
Marina South,c
Marine Parade,c
Museum,c
Newton,c
North-Eastern Islands,ne
Novena,c
Orchard,c
Outram,c
Pasir Ris,e
Paya Lebar,e
Pioneer,w
Punggol,ne
Queenstown,c
River Valley,c
Rochor,c
Seletar,ne
Sembawang,n
Sengkang,ne
Serangoon,ne
Simpang,n
Singapore River,c
Southern Islands,c
Straits View,c
Sungei Kadut,n
Tampines,e
Tanglin,c
Tengah,w
Toa Payoh,c
Tuas,w
Western Islands,w
Western Water Catchment,w
Woodlands,n
Yishun,n
